x,v_n,v_2n,|v_2n - v_n|
0.0,0.0,0.0,0.0
0.01,0.009057096042320701,0.009056914628421979,1.814138987227265e-07
0.02,0.0180239833128905,0.018023622875243887,3.6043764661125577e-07
0.03,0.026901472705666084,0.02690093557482681,5.371308392752849e-07
0.04,0.035690368678625586,0.03568965712714126,7.115514843239468e-07
0.05,0.04439146924655652,0.044390585490496764,8.837560597566019e-07
0.06,0.053005565977204905,0.053004512177635424,1.0537995694809288e-06
0.07,0.061533443990566344,0.06153222225496976,1.221735596586282e-06
0.08,0.06997588196111319,0.06997449434475927,1.38761635391782e-06
0.09,0.07833365212276626,0.0783321006300337,1.551492732565496e-06
0.1,0.08660752027643079,0.0866058068620826,1.7134143481950526e-06
0.11,0.0947982457999289,0.09479637237034358,1.8734295853251037e-06
0.12,0.10290658166017033,0.10290455007453049,2.0315856398417376e-06
0.13,0.11093327442741396,0.11093108649885458,2.187928559382879e-06
0.14,0.11887906429148146,0.11887672178819911,2.3425032823487513e-06
0.15,0.12674468507979297,0.1267421897261179,2.4953536750804695e-06
0.16,0.13453086427710279,0.1345282177545351,2.646522567678611e-06
0.17,0.1422383230468206,0.1422355269950327,2.7960517879066504e-06
0.18,0.14986777625381037,0.14986483227161598,2.9439821943866296e-06
0.19,0.15741993248856617,0.1574168421348582,3.090353707962956e-06
0.2,0.16489549409266896,0.164892258887327,3.2352053419559823e-06
0.21,0.17229515718543637,0.1722917786102051,3.378575231277603e-06
0.22,0.17961961169167961,0.1796160911910191,3.5205006605198985e-06
0.23,0.1868695413704901,0.18686588035239948,3.661018090628243e-06
0.24,0.1940456238449795,0.19404182368179473,3.8001631847695005e-06
0.25,0.20114853063290464,0.20114459266207146,3.9379708331732655e-06
0.26,0.2081789271781099,0.20817485270293282,4.074475177084924e-06
0.27,0.21513747288272592,0.21513326317309406,4.209709631858294e-06
0.28,0.22202482114006486,0.22202047743315584,4.343706909021305e-06
0.29,0.22884161936815753,0.22883714286911971,4.47649903781433e-06
0.3,0.23558850904388018,0.23558390092649456,4.608117385618282e-06
0.31,0.2422661257376213,0.24226138714494355,4.7385926777443466e-06
0.32,0.2488750991484427,0.2488702311934259,4.867955016779613e-06
0.33,0.2554160531396901,0.2554110569057893,4.996233900822489e-06
0.34,0.26188960577501347,0.26188448231677186,5.123458241607093e-06
0.35000000000000003,0.2682963693547555,0.2682911196983739,5.249656381600687e-06
0.36,0.2746369504526746,0.27463157559656426,5.374856110351711e-06
0.37,0.2809119499529652,0.28090645086828414,5.499084681059863e-06
0.38,0.28712196308754334,0.2871163407187178,5.622368825564106e-06
0.39,0.2932675794735666,0.29326183473879675,5.744734769830284e-06
0.4,0.2993493831511591,0.29934351694291106,5.8662082480509525e-06
0.41000000000000003,0.3201868725482842,0.3201816749136552,5.197634629028336e-06
0.42,0.34037530754141576,0.34037071318544077,4.594355974996134e-06
0.43,0.3599482488604584,0.35994419910646747,4.049753990931215e-06
0.44,0.3789369950541187,0.3789334370753575,3.5579787612260994e-06
0.45,0.39737078645267637,0.39736767260686,3.1138458163604277e-06
0.46,0.41527698670678986,0.4152742739579657,2.7127488241851516e-06
0.47000000000000003,0.43268124479734826,0.4326788942120864,2.3505852618788126e-06
0.48,0.4496076399846724,0.44960561629175677,2.0236929156314254e-06
0.49,0.466078811809051,0.46607708301360257,1.7287954484079826e-06
0.5,0.48211607695587266,0.4821146140002814,1.4629555912804015e-06
0.51,0.4977395345472179,0.4977383110124514,1.223534766503498e-06
0.52,0.5129681612094347,0.5129671530512792,1.0081581555132502e-06
0.53,0.5278198970862418,0.5278190824018477,8.146843940570747e-07
0.54,0.54231172381384,0.5423110826346333,6.411792066174371e-07
0.55,0.5564597353439208,0.5564592494515105,4.858924103068318e-07
0.56,0.5702792023886958,0.5702788551508872,3.472378086177841e-07
0.5700000000000001,0.5837846311661332,0.5837844073905675,2.2377556574415536e-07
0.58,0.5969898170410006,0.5969897028442767,1.141967239659536e-07
0.59,0.609907893586022,0.6099078762764525,1.7309569555479243e-08
0.6,0.6225513775257527,0.6225514454981509,6.797239815448108e-08
0.61,0.6349322099722342,0.6349323526133389,1.4264110470563196e-07
0.62,0.6470617943149122,0.6470620019182395,2.0760332730684894e-07
0.63,0.6589510310866898,0.6589512947757515,2.6368906169693673e-07
0.64,0.6706103500924916,0.6706106617514573,3.116589657459201e-07
0.65,0.6820497400556229,0.6820500922666125,3.5221098959592467e-07
0.66,0.6932787760099145,0.6932791619962119,3.8598629736874557e-07
0.67,0.7043066446416361,0.7043070582161941,4.135745580446937e-07
0.68,0.7151421677639977,0.7151426032826865,4.35518688779446e-07
0.6900000000000001,0.72579382408837,0.7257942764074742,4.523191041716501e-07
0.7000000000000001,0.7362697694398136,0.7362702338773517,4.6443753809466415e-07
0.71,0.7465778555498515,0.7465783278503333,4.7230048183521944e-07
0.72,0.7567256475463953,0.7567261238486754,4.763022801723693e-07
0.73,0.7667204402491563,0.7667209170570842,4.7680792791826576e-07
0.74,0.776569273368549,0.7765697475241439,4.7415559489838444e-07
0.75,0.7862789456968862,0.7862794143557992,4.686589130109553e-07
0.76,0.7958560283724261,0.7958564889814718,4.6060904568268057e-07
0.77,0.8053068772894594,0.8053073275660263,4.502765669212039e-07
0.78,0.8146376447210127,0.8146380826341811,4.3791316839403294e-07
0.79,0.8238542902148064,0.8238547139680165,4.2375321007703803e-07
0.8,0.8329625908177651,0.8329629988328996,4.080151344565408e-07
0.81,0.8419681506795699,0.8419685415823248,3.909027549431343e-07
0.8200000000000001,0.8508764100814061,0.8508767826878374,3.726064312647992e-07
0.8300000000000001,0.8596926539321451,0.8596930072362886,3.5330414349665773e-07
0.84,0.8684220197706566,0.8684223529331301,3.3316247349812755e-07
0.85,0.8770695053097445,0.8770698176472504,3.123375059699285e-07
0.86,0.8856399755542976,0.8856402665299502,2.909756525726337e-07
0.87,0.8941381695236077,0.8941384387380157,2.6921440798854945e-07
0.88,0.9025687066054131,0.9025689537884573,2.4718304414417247e-07
0.89,0.9109360925670525,0.9109363175703041,2.2500325158603118e-07
0.9,0.9192447252471282,0.9192449280368529,2.0278972467924206e-07
0.91,0.9274988999492707,0.9274990805999745,1.806507038404348e-07
0.92,0.9357028145579485,0.9357029732464258,1.586884773585595e-07
0.93,0.9438605743947656,0.9438607113946048,1.36999839250862e-07
0.9400000000000001,0.9519761968323036,0.9519763125088216,1.1567651803101597e-07
0.9500000000000001,0.9600536156813135,0.9600537104868817,9.48055681737614e-08
0.96,0.9680966853659043,0.9680967598356408,7.446973648850275e-08
0.97,0.976109184900319,0.9761092396481181,5.47477991830192e-08
0.98,0.9840948216799159,0.9840948573947926,3.571487672271445e-08
0.99,0.9920572350980845,0.9920572525408081,1.744272359882615e-08
1.0,1.0,1.0,0.0
